elev,shp,rie,elb,time,date
7.02,22.05,666.0,13.38,66840.61,2023-11-05
7.02,22.04,666.0,13.38,66840.671,2023-11-05
7.02,22.03,666.0,13.38,66840.704,2023-11-05
7.02,22.01,666.0,13.38,66840.739,2023-11-05
7.02,22.0,666.0,13.38,66840.772,2023-11-05
7.02,21.99,666.0,13.38,66840.809,2023-11-05
7.01,21.95,666.0,13.38,66840.84,2023-11-05
7.01,21.91,666.0,13.38,66840.87,2023-11-05
7.0,21.86,666.0,13.38,66840.908,2023-11-05
7.0,21.82,666.0,13.37,66840.941,2023-11-05
7.0,21.78,666.0,13.36,66840.973,2023-11-05
7.0,21.74,666.0,13.35,66841.012,2023-11-05
7.0,21.68,666.0,13.34,66841.051,2023-11-05
7.0,21.62,666.0,13.34,66841.075,2023-11-05
7.0,21.54,666.0,13.34,66841.113,2023-11-05
7.0,21.4,666.0,13.35,66841.14,2023-11-05
7.0,21.24,666.0,13.37,66841.18,2023-11-05
7.0,21.09,666.0,13.39,66841.221,2023-11-05
7.0,20.94,666.0,13.41,66841.247,2023-11-05
7.0,20.79,666.0,13.43,66841.287,2023-11-05
7.01,20.62,666.0,13.43,66841.306,2023-11-05
7.01,20.48,666.0,13.43,66841.342,2023-11-05
7.02,20.26,666.0,13.47,66841.375,2023-11-05
7.03,20.05,666.0,13.51,66841.407,2023-11-05
7.03,19.79,666.0,13.56,66841.442,2023-11-05
7.04,19.52,666.0,13.61,66841.477,2023-11-05
7.05,19.32,666.0,13.65,66841.506,2023-11-05
7.06,19.15,666.0,13.68,66841.544,2023-11-05
7.06,19.01,666.0,13.71,66841.577,2023-11-05
7.07,18.95,666.0,13.71,66841.607,2023-11-05
7.08,19.15,666.0,13.64,66841.641,2023-11-05
7.17,20.73,666.0,13.24,66841.674,2023-11-05
7.36,24.24,666.0,12.41,66841.706,2023-11-05
7.82,31.81,666.0,11.74,66841.742,2023-11-05
8.72,42.17,666.0,11.38,66841.777,2023-11-05
10.8,53.79,666.0,12.96,66841.808,2023-11-05
15.18,64.65,666.0,15.05,66841.841,2023-11-05
21.92,70.38,666.0,10.82,66841.876,2023-11-05
28.44,76.3,666.0,9.15,66841.904,2023-11-05
36.94,78.34,666.0,5.56,66841.939,2023-11-05
42.46,78.86,666.0,7.86,66841.974,2023-11-05
51.28,79.29,666.0,6.61,66842.006,2023-11-05
55.71,77.04,666.0,15.86,66842.044,2023-11-05
68.2,73.75,666.0,11.43,66842.076,2023-11-05
71.12,71.95,666.0,17.83,66842.106,2023-11-05
72.81,69.97,666.0,20.19,66842.14,2023-11-05
61.16,71.87,666.0,26.66,66842.177,2023-11-05
56.41,70.38,666.0,29.73,66842.209,2023-11-05
31.83,82.54,14.1,57.22,66842.24,2023-11-05
21.99,95.8,18.37,71.33,66842.271,2023-11-05
20.13,98.7,19.01,73.53,66842.305,2023-11-05
21.94,96.02,20.04,69.64,66842.34,2023-11-05
22.85,95.37,22.05,68.08,66842.384,2023-11-05
133.35,71.69,666.0,11.53,66842.405,2023-11-05
138.93,73.57,666.0,13.63,66842.442,2023-11-05
146.34,75.07,666.0,15.99,66842.476,2023-11-05
150.88,76.14,666.0,18.17,66842.504,2023-11-05
155.23,77.63,666.0,19.49,66842.539,2023-11-05
162.73,77.44,666.0,17.28,66842.575,2023-11-05
165.24,78.56,666.0,20.99,66842.606,2023-11-05
165.31,108.3,666.0,24.26,66842.643,2023-11-05
166.67,114.03,666.0,24.69,66842.681,2023-11-05
167.69,121.35,666.0,29.93,66842.706,2023-11-05
168.95,128.0,666.0,29.55,66842.742,2023-11-05
169.74,133.95,666.0,27.85,66842.774,2023-11-05
170.05,140.36,666.0,25.33,66842.808,2023-11-05
170.28,141.78,666.0,22.64,66842.846,2023-11-05
170.34,142.33,666.0,21.1,66842.871,2023-11-05
170.13,140.65,666.0,14.21,66842.909,2023-11-05
175.46,74.22,666.0,13.31,66842.938,2023-11-05
172.65,85.21,666.0,11.03,66842.981,2023-11-05
169.54,89.08,666.0,9.12,66843.006,2023-11-05
165.74,90.49,666.0,8.47,66843.04,2023-11-05
162.71,90.87,666.0,6.56,66843.078,2023-11-05
155.99,89.77,666.0,9.81,66843.106,2023-11-05
151.41,88.82,666.0,9.21,66843.142,2023-11-05
146.96,88.13,666.0,7.08,66843.178,2023-11-05
138.57,86.59,666.0,10.89,66843.204,2023-11-05
132.88,85.45,666.0,7.65,66843.242,2023-11-05
124.35,83.4,666.0,9.7,66843.273,2023-11-05
117.51,81.05,666.0,8.99,66843.306,2023-11-05
108.8,78.84,666.0,11.62,66843.339,2023-11-05
101.09,76.33,666.0,13.1,66843.374,2023-11-05
99.43,74.65,666.0,4.56,66843.403,2023-11-05
100.01,72.98,666.0,7.24,66843.444,2023-11-05
101.05,71.32,666.0,7.24,66843.475,2023-11-05
101.7,70.56,666.0,27.36,66843.505,2023-11-05
100.61,67.61,666.0,12.69,66843.541,2023-11-05
99.62,66.39,171.92,64.61,66843.576,2023-11-05
77.32,58.86,-161.5,32.52,66843.607,2023-11-05
57.94,54.28,666.0,16.27,66843.637,2023-11-05
43.83,49.35,666.0,13.78,66843.677,2023-11-05
