elev,shp,time,elb,rie
82.09,16.62,18:31:41:189,16.92,666.0
82.7,10.52,18:31:41:319,17.09,666.0
82.57,-0.22,18:31:41:457,16.87,666.0
82.72,-6.55,18:31:41:592,16.95,666.0
82.22,-11.4,18:31:41:732,14.14,666.0
82.2,-14.55,18:31:41:859,14.84,666.0
82.28,-16.13,18:31:41:987,15.29,666.0
82.29,-16.45,18:31:42:103,14.66,666.0
82.2,-16.66,18:31:42:231,15.21,666.0
82.39,-14.3,18:31:42:367,17.69,666.0
82.59,-8.78,18:31:42:496,17.76,666.0
83.14,0.04,18:31:42:629,19.24,666.0
82.53,12.15,18:31:42:756,15.0,666.0
83.41,19.46,18:31:42:886,15.42,666.0
83.53,30.69,18:31:43:018,14.89,666.0
84.7,39.56,18:31:43:159,14.92,666.0
86.26,48.89,18:31:43:292,26.28,666.0
86.85,56.18,18:31:43:423,14.58,666.0
81.18,60.3,18:31:43:557,18.23,666.0
81.37,67.07,18:31:43:680,17.31,666.0
63.06,65.2,18:31:43:814,46.5,23.63
68.78,67.97,18:31:43:945,39.55,19.97
68.2,65.27,18:31:44:074,41.25,22.06
65.54,62.78,18:31:44:209,37.6,27.14
70.4,62.55,18:31:44:342,36.8,36.02
68.84,59.43,18:31:44:465,40.69,18.04
83.82,53.79,18:31:44:591,27.53,666.0
86.11,48.1,18:31:44:728,19.23,666.0
88.08,38.84,18:31:44:863,7.77,666.0
86.17,28.38,18:31:44:994,12.36,666.0
86.96,17.45,18:31:45:128,14.89,666.0
85.71,2.01,18:31:45:259,19.62,666.0
86.08,-7.35,18:31:45:393,16.21,666.0
85.97,-12.89,18:31:45:522,12.96,666.0
85.71,-17.47,18:31:45:643,11.35,666.0
85.43,-19.55,18:31:45:767,12.1,666.0
85.57,-20.78,18:31:45:904,12.69,666.0
85.06,-20.01,18:31:46:050,12.19,666.0
85.06,-19.09,18:31:46:180,14.15,666.0
84.74,-14.76,18:31:46:308,17.53,666.0
84.12,-7.71,18:31:46:447,19.6,666.0
83.29,11.65,18:31:46:576,12.7,666.0
83.4,19.63,18:31:46:700,16.91,666.0
83.9,32.47,18:31:46:825,13.08,666.0
84.11,39.21,18:31:46:969,16.98,666.0
86.47,48.89,18:31:47:102,10.84,666.0
86.41,55.34,18:31:47:246,15.8,666.0
84.71,62.49,18:31:47:370,14.65,666.0
81.49,63.61,18:31:47:499,23.19,666.0
55.28,69.1,18:31:47:624,53.99,-3.91
87.1,73.54,18:31:47:745,11.72,666.0
87.16,73.37,18:31:47:864,18.28,666.0
88.74,71.9,18:31:47:998,16.48,666.0
87.91,73.29,18:31:48:143,26.92,666.0
89.36,72.53,18:31:48:282,10.73,666.0
89.46,72.22,18:31:48:415,5.97,666.0
91.78,70.52,18:31:48:541,3.92,666.0
86.94,57.16,18:31:48:665,7.17,666.0
87.17,45.37,18:31:48:794,10.65,666.0
86.15,32.48,18:31:48:939,13.63,666.0
83.89,23.43,18:31:49:071,14.45,666.0
82.2,13.87,18:31:49:208,15.04,666.0
82.72,2.05,18:31:49:333,15.94,666.0
83.21,-4.63,18:31:49:472,14.24,666.0
83.95,-8.61,18:31:49:594,10.37,666.0
84.47,-12.63,18:31:49:724,8.15,666.0
83.97,-15.01,18:31:49:847,11.11,666.0
83.36,-15.32,18:31:49:969,12.68,666.0
83.38,-14.98,18:31:50:102,12.73,666.0
83.41,-14.24,18:31:50:248,13.94,666.0
83.42,-13.83,18:31:50:383,14.61,666.0
83.07,-11.07,18:31:50:520,16.27,666.0
81.92,-6.66,18:31:50:656,18.75,666.0
81.2,2.73,18:31:50:793,22.87,666.0
83.81,17.58,18:31:50:925,18.21,666.0
83.71,26.62,18:31:51:046,17.89,666.0
83.73,39.99,18:31:51:188,12.14,666.0
85.12,49.12,18:31:51:334,14.93,666.0
86.06,57.17,18:31:51:458,13.89,666.0
84.4,62.67,18:31:51:593,12.65,666.0
83.95,67.76,18:31:51:724,13.44,666.0
83.96,69.61,18:31:51:853,14.02,666.0
77.18,70.6,18:31:51:977,27.43,666.0
61.75,65.68,18:31:52:098,51.05,16.67
72.33,70.1,18:31:52:226,39.62,24.16
79.56,70.11,18:31:52:356,23.38,666.0
74.1,73.21,18:31:52:489,28.08,666.0
74.97,70.14,18:31:52:621,25.81,666.0
72.54,69.27,18:31:52:741,30.01,40.29
72.57,67.53,18:31:52:876,31.68,40.95
76.06,62.74,18:31:53:007,35.64,57.15
76.41,63.12,18:31:53:140,35.07,54.83
75.0,60.83,18:31:53:270,36.94,43.58
80.63,56.01,18:31:53:390,14.03,666.0
83.45,54.82,18:31:53:515,12.03,666.0
83.74,49.15,18:31:53:644,9.41,666.0
81.47,38.74,18:31:53:770,14.36,666.0
81.78,31.47,18:31:53:892,12.56,666.0
81.91,20.39,18:31:54:025,16.69,666.0
81.88,12.93,18:31:54:154,12.67,666.0
81.71,2.65,18:31:54:291,16.26,666.0
81.3,-2.19,18:31:54:415,14.62,666.0
80.03,-6.25,18:31:54:540,15.62,666.0
79.07,-9.32,18:31:54:662,16.02,666.0
79.11,-10.74,18:31:54:790,16.21,666.0
79.53,-11.85,18:31:54:920,16.07,666.0
80.42,-11.23,18:31:55:070,14.37,666.0
81.21,-11.51,18:31:55:205,13.84,666.0
81.78,-11.11,18:31:55:331,14.02,666.0
81.76,-7.06,18:31:55:452,18.72,666.0
82.81,2.46,18:31:55:592,17.23,666.0
82.07,16.43,18:31:55:728,13.54,666.0
81.77,25.14,18:31:55:866,18.83,666.0
83.12,35.14,18:31:55:996,13.32,666.0
85.66,42.34,18:31:56:130,14.45,666.0
