x,y
55077.509,8.38
55077.544,8.33
55077.575,8.29
55077.61,8.26
55077.646,8.25
55077.675,8.24
55077.709,8.24
55077.743,8.25
55077.777,8.28
55077.809,8.57
55077.841,9.17
55077.878,9.74
55077.909,10.39
55077.945,11.62
55077.977,14.08
55078.012,16.56
55078.043,19.62
55078.077,22.2
55078.11,24.58
55078.145,27.54
55078.176,30.35
55078.212,33.51
55078.241,37.01
55078.275,40.54
55078.314,44.38
55078.345,48.05
55078.377,51.68
55078.411,55.81
55078.443,60.14
55078.475,65.4
55078.508,71.37
55078.543,75.67
55078.575,80.02
55078.608,84.06
55078.643,88.12
55078.676,92.56
55078.713,98.97
55078.742,105.47
55078.775,108.03
55078.809,110.24
55078.842,112.24
55078.879,113.76
55078.907,116.52
55078.946,119.89
55078.975,123.0
55079.01,126.16
55079.051,127.75
55079.075,133.11
55079.106,134.63
55079.141,135.45
55079.178,136.31
55079.213,137.68
55079.242,139.18
55079.276,140.59
55079.309,142.17
55079.346,143.97
55079.374,145.61
55079.408,147.67
55079.442,149.24
55079.475,150.87
55079.511,152.29
55079.542,153.5
55079.576,154.63
55079.609,155.54
55079.644,156.21
55079.676,156.01
55079.709,155.6
55079.744,155.2
55079.777,154.85
55079.809,154.68
55079.845,154.53
55079.875,154.42
55079.91,154.33
55079.943,154.08
55079.976,153.26
55080.01,151.64
55080.043,149.18
55080.076,146.08
55080.113,143.45
55080.143,141.54
55080.176,139.26
55080.208,137.5
55080.243,136.03
55080.275,134.6
55080.313,133.04
55080.343,130.4
55080.375,126.02
55080.41,123.25
55080.443,120.86
55080.474,118.2
55080.512,116.11
55080.541,113.84
55080.576,105.68
55080.61,99.19
55080.642,96.64
55080.675,95.61
55080.708,91.08
55080.742,88.43
55080.776,87.22
55080.811,82.61
55080.846,81.09
55080.877,78.96
55080.907,77.05
55080.943,71.86
55080.977,65.06
55081.009,60.05
55081.046,56.44
55081.083,53.06
55081.111,50.41
55081.143,47.23
55081.177,44.52
55081.213,41.3
55081.241,38.13
55081.277,35.16
55081.31,33.03
55081.343,31.1
55081.376,29.65
55081.41,28.36
55081.443,26.64
55081.476,24.95
55081.509,21.84
55081.546,18.61
55081.578,16.26
55081.61,14.77
55081.643,13.55
55081.678,12.67
55081.709,12.05
55081.741,11.54
55081.775,11.09
55081.809,10.74
55081.844,10.46
55081.875,10.24
55081.909,10.04
55081.942,9.87
55081.975,9.74
55082.008,9.63
55082.041,9.53
55082.076,9.44
55082.111,9.37
55082.141,9.31
55082.175,9.27
55082.21,9.25
55082.243,9.25
55082.276,9.24
55082.309,9.26
55082.346,9.39
55082.375,9.97
55082.409,11.4
55082.444,14.81
55082.476,19.07
55082.508,22.99
55082.54,25.91
55082.577,28.15
55082.61,31.18
55082.644,34.34
55082.674,38.17
55082.709,42.14
55082.743,46.62
55082.774,50.01
55082.811,53.61
55082.845,58.16
55082.877,62.54
55082.908,70.24
55082.944,74.98
55082.976,78.92
55083.01,83.75
55083.044,87.6
55083.075,93.83
55083.11,98.62
55083.142,105.23
55083.172,107.39
55083.21,109.22
55083.243,116.02
55083.275,119.23
55083.308,122.04
55083.345,124.46
55083.379,126.87
55083.407,132.9
55083.442,135.04
55083.477,136.47
55083.508,138.45
