elev,shp,time,elb,rie
57.31,61.03,17:54:48:856,27.3,666.0
62.81,61.29,17:54:48:987,32.81,20.34
59.87,58.53,17:54:49:116,41.48,16.89
63.67,57.92,17:54:49:248,42.01,20.13
69.56,57.03,17:54:49:386,38.2,29.4
73.02,58.52,17:54:49:525,37.11,31.09
75.77,61.23,17:54:49:674,32.78,28.74
81.17,61.04,17:54:49:823,29.6,666.0
85.51,62.98,17:54:49:966,27.22,666.0
89.73,63.72,17:54:50:105,22.82,666.0
89.22,64.26,17:54:50:251,32.46,28.14
91.95,64.94,17:54:50:386,31.92,31.0
95.0,66.26,17:54:50:523,28.38,666.0
98.07,67.3,17:54:50:667,23.42,666.0
98.25,67.65,17:54:50:806,23.44,666.0
92.86,65.41,17:54:50:946,31.53,31.2
89.76,65.23,17:54:51:108,29.26,666.0
86.44,67.31,17:54:51:257,27.22,666.0
80.72,65.87,17:54:51:393,23.48,666.0
65.86,59.23,17:54:51:530,36.58,21.76
52.88,57.72,17:54:51:670,46.68,7.74
47.33,49.95,17:54:51:809,46.45,13.87
42.6,48.8,17:54:51:954,28.05,666.0
34.48,41.18,17:54:52:090,33.35,15.26
32.62,35.79,17:54:52:228,27.38,666.0
24.77,21.18,17:54:52:368,32.26,15.2
22.47,11.94,17:54:52:502,26.22,666.0
20.56,1.0,17:54:52:629,26.71,666.0
19.94,-9.87,17:54:52:765,27.97,666.0
20.82,-20.71,17:54:52:920,29.49,666.0
21.47,-23.13,17:54:53:065,28.43,666.0
22.13,-27.6,17:54:53:201,27.69,666.0
22.66,-33.54,17:54:53:338,28.57,666.0
22.98,-36.31,17:54:53:473,28.51,666.0
22.8,-35.31,17:54:53:614,27.94,666.0
22.9,-34.91,17:54:53:745,28.08,666.0
22.84,-34.75,17:54:53:881,28.07,666.0
22.88,-34.69,17:54:54:017,28.24,666.0
22.51,-33.19,17:54:54:156,28.73,666.0
21.21,-29.76,17:54:54:298,28.62,666.0
