elev,shp,time,elb,rie
85.26,-4.65,15:04:55:468,11.8,666.0
84.56,-0.03,15:04:55:603,13.56,666.0
84.76,5.46,15:04:55:720,18.01,666.0
84.8,21.12,15:04:55:848,10.87,666.0
84.49,25.5,15:04:55:980,16.44,666.0
85.03,40.55,15:04:56:100,10.04,666.0
85.0,43.6,15:04:56:224,16.29,666.0
87.38,53.46,15:04:56:345,9.14,666.0
86.91,61.52,15:04:56:460,9.78,666.0
85.78,65.29,15:04:56:581,15.67,666.0
85.14,69.42,15:04:56:709,15.15,666.0
85.02,73.53,15:04:56:842,15.86,666.0
83.52,73.6,15:04:56:961,21.68,666.0
85.46,80.96,15:04:57:085,10.92,666.0
85.24,75.86,15:04:57:210,19.69,666.0
87.38,72.73,15:04:57:337,25.04,666.0
87.34,69.48,15:04:57:462,42.97,82.89
86.95,69.02,15:04:57:584,27.96,666.0
87.61,72.16,15:04:57:701,24.94,666.0
83.42,63.61,15:04:57:826,27.23,666.0
87.05,61.71,15:04:57:954,20.28,666.0
88.02,59.59,15:04:58:073,25.01,666.0
90.33,53.98,15:04:58:196,10.74,666.0
88.62,43.3,15:04:58:315,17.01,666.0
88.33,35.58,15:04:58:435,18.74,666.0
90.38,32.2,15:04:58:563,10.67,666.0
91.11,25.95,15:04:58:680,10.51,666.0
90.73,17.44,15:04:58:801,12.02,666.0
90.24,10.61,15:04:58:922,16.79,666.0
89.67,5.28,15:04:59:049,14.51,666.0
88.61,-0.07,15:04:59:164,14.0,666.0
88.59,-3.69,15:04:59:287,12.84,666.0
88.37,-7.12,15:04:59:406,10.76,666.0
88.16,-9.86,15:04:59:529,10.29,666.0
87.93,-10.64,15:04:59:656,9.81,666.0
87.82,-10.71,15:04:59:790,10.1,666.0
86.94,-8.32,15:04:59:923,11.62,666.0
86.67,-2.72,15:05:00:052,13.02,666.0
86.35,5.02,15:05:00:177,13.13,666.0
86.48,14.97,15:05:00:294,11.36,666.0
86.19,22.31,15:05:00:417,13.64,666.0
84.53,32.8,15:05:00:546,11.82,666.0
85.25,45.79,15:05:00:667,14.37,666.0
83.12,45.93,15:05:00:796,14.46,666.0
85.6,55.42,15:05:00:914,8.72,666.0
