elev,shp,time,elb,rie
14.54,-13.11,18:28:40:859,30.61,14.16
14.45,-13.06,18:28:40:989,31.22,13.57
14.29,-11.34,18:28:41:115,31.3,13.77
13.82,-5.22,18:28:41:243,31.86,13.62
15.8,21.63,18:28:41:393,35.66,14.86
23.72,45.23,18:28:41:539,39.0,15.87
41.25,61.05,18:28:41:688,33.17,29.5
57.05,67.77,18:28:41:816,20.82,666.0
65.73,69.12,18:28:41:945,34.11,23.46
90.7,69.55,18:28:42:060,15.37,666.0
106.17,67.81,18:28:42:191,16.02,666.0
116.44,64.21,18:28:42:327,15.72,666.0
124.59,56.49,18:28:42:468,23.15,666.0
140.09,49.55,18:28:42:595,16.9,666.0
145.58,38.46,18:28:42:728,18.94,666.0
148.96,31.09,18:28:42:849,18.65,666.0
151.3,22.24,18:28:42:975,17.49,666.0
152.41,18.72,18:28:43:099,18.05,666.0
151.98,20.65,18:28:43:240,18.7,666.0
140.73,43.89,18:28:43:399,17.37,666.0
125.16,55.44,18:28:43:526,17.7,666.0
106.33,58.61,18:28:43:647,28.79,666.0
94.11,64.49,18:28:43:773,22.9,666.0
77.99,66.56,18:28:43:905,20.81,666.0
72.86,65.0,18:28:44:028,17.89,666.0
57.72,62.7,18:28:44:154,26.18,666.0
42.0,56.17,18:28:44:307,27.2,666.0
32.01,52.14,18:28:44:458,22.45,666.0
20.38,27.48,18:28:44:601,32.56,20.85
15.48,16.15,18:28:44:728,33.18,15.89
11.95,4.14,18:28:44:864,33.08,9.23
11.11,0.74,18:28:44:994,30.5,7.58
10.81,-0.87,18:28:45:124,31.05,6.51
10.23,0.95,18:28:45:265,30.4,6.72
9.46,-2.63,18:28:45:404,30.03,4.53
9.38,-1.93,18:28:45:540,31.59,4.04
12.75,21.7,18:28:45:689,33.38,8.02
26.46,52.51,18:28:45:830,41.62,12.03
50.74,66.99,18:28:45:960,36.46,26.28
70.21,69.78,18:28:46:087,27.0,666.0
77.04,78.6,18:28:46:213,27.73,666.0
102.66,71.4,18:28:46:357,18.3,666.0
