elev,shp,time,elb,rie
102.62,67.97,15:31:13:596,28.41,666.0
110.61,66.39,15:31:13:728,27.19,666.0
121.78,67.55,15:31:13:865,21.64,666.0
125.19,66.65,15:31:14:000,25.95,666.0
129.27,64.71,15:31:14:122,25.59,666.0
133.53,62.32,15:31:14:242,25.47,666.0
139.37,60.95,15:31:14:370,22.31,666.0
143.16,58.45,15:31:14:507,22.97,666.0
145.53,55.59,15:31:14:627,26.15,666.0
149.25,50.76,15:31:14:744,25.65,666.0
152.36,44.95,15:31:14:871,25.77,666.0
152.9,38.57,15:31:14:991,24.9,666.0
154.6,36.79,15:31:15:119,24.3,666.0
155.07,37.96,15:31:15:236,24.65,666.0
155.52,38.44,15:31:15:356,24.06,666.0
153.94,44.09,15:31:15:482,21.57,666.0
147.81,55.58,15:31:15:606,20.24,666.0
141.2,62.73,15:31:15:721,19.02,666.0
128.66,66.9,15:31:15:839,22.07,666.0
118.61,69.13,15:31:15:951,23.92,666.0
103.68,70.53,15:31:16:072,22.37,666.0
90.06,74.23,15:31:16:196,32.01,27.73
68.24,73.36,15:31:16:312,32.5,22.08
65.17,73.65,15:31:16:436,23.59,666.0
50.35,69.72,15:31:16:556,39.9,35.27
50.72,75.36,15:31:16:682,2.73,666.0
35.62,65.68,15:31:16:810,14.12,666.0
23.7,52.14,15:31:16:943,20.54,666.0
15.81,27.11,15:31:17:074,22.97,666.0
14.14,4.33,15:31:17:198,21.11,666.0
14.54,-20.71,15:31:17:339,18.18,666.0
16.53,-34.92,15:31:17:467,18.86,666.0
16.91,-41.88,15:31:17:593,19.08,666.0
17.35,-48.03,15:31:17:714,20.54,666.0
17.19,-48.0,15:31:17:839,19.7,666.0
17.07,-48.16,15:31:17:963,19.45,666.0
16.51,-48.22,15:31:18:090,19.32,666.0
13.7,-37.79,15:31:18:222,23.74,666.0
11.33,0.63,15:31:18:352,27.68,666.0
16.32,41.2,15:31:18:475,28.55,666.0
23.49,55.99,15:31:18:596,27.25,666.0
36.87,64.82,15:31:18:728,18.19,666.0
48.16,71.01,15:31:18:865,6.47,666.0
58.11,74.68,15:31:18:992,12.83,666.0
67.82,75.31,15:31:19:114,23.32,666.0
76.48,74.42,15:31:19:241,25.06,666.0
81.73,73.04,15:31:19:359,29.22,666.0
92.65,71.95,15:31:19:482,23.09,666.0
100.95,69.22,15:31:19:604,21.61,666.0
101.96,66.99,15:31:19:740,28.87,666.0
108.97,68.08,15:31:19:866,25.52,666.0
117.82,70.4,15:31:19:984,20.63,666.0
121.0,70.45,15:31:20:113,24.27,666.0
125.71,70.08,15:31:20:241,24.54,666.0
130.09,69.44,15:31:20:371,23.38,666.0
134.67,68.67,15:31:20:494,20.84,666.0
138.07,67.47,15:31:20:608,25.43,666.0
141.81,65.76,15:31:20:739,25.49,666.0
143.41,64.76,15:31:20:860,24.19,666.0
144.84,63.69,15:31:20:983,23.07,666.0
144.63,63.57,15:31:21:107,23.21,666.0
144.83,63.39,15:31:21:229,21.88,666.0
141.77,64.7,15:31:21:348,18.88,666.0
132.02,66.25,15:31:21:470,21.41,666.0
122.6,68.68,15:31:21:592,22.68,666.0
107.14,70.99,15:31:21:720,22.62,666.0
86.26,72.46,15:31:21:845,31.86,23.7
79.11,76.38,15:31:21:963,29.54,666.0
68.62,77.2,15:31:22:092,22.13,666.0
90.71,75.88,15:31:22:220,48.01,163.74
88.71,76.71,15:31:22:351,11.94,666.0
37.34,68.23,15:31:22:471,23.65,666.0
20.76,66.81,15:31:22:591,32.87,2.32
15.63,50.55,15:31:22:724,28.54,666.0
13.95,29.8,15:31:22:845,18.5,666.0
