17056,  portal1 , 3.25,  -25 ,  21 ,  0,  35 ,  0.000 
127236,  portal1 , 3.25,  -25 ,  21 ,  210942,  35 ,  5.270 
139312,  portal1 , 3.25,  -25 ,  21 ,  212503,  35 ,  5.309 
115696,  portal1 , 3.12,  -25 ,  20 ,  173441,  34 ,  5.200 
138794,  portal1 , 3.12,  -25 ,  20 ,  242191,  34 ,  5.186 
125012,  portal1 , 3.25,  -25 ,  21 ,  175003,  35 ,  5.246 
124819,  portal1 , 3.12,  -25 ,  20 ,  173439,  34 ,  5.199 
127237,  portal1 , 3.12,  -25 ,  20 ,  206252,  34 ,  5.153 
18677,  portal1 , 3.12,  -25 ,  20 ,  0,  34 ,  0.000 
124651,  portal1 , 3.25,  -25 ,  21 ,  175002,  35 ,  5.246 
127236,  portal1 , 3.25,  -25 ,  21 ,  214066,  35 ,  5.348 
141169,  portal1 , 3.25,  -25 ,  21 ,  212503,  35 ,  5.309 
124688,  portal1 , 3.25,  -25 ,  21 ,  178128,  35 ,  5.340 
124704,  portal1 , 3.25,  -25 ,  21 ,  178128,  35 ,  5.340 
132179,  portal1 , 3.25,  -25 ,  21 ,  179690,  35 ,  5.387 
127249,  portal1 , 3.25,  -25 ,  21 ,  210940,  35 ,  5.270 
138779,  portal1 , 3.25,  -29 ,  21 ,  251566,  35 ,  5.387 
18536,  portal1 , 3.25,  -29 ,  21 ,  0,  35 ,  0.000 
138703,  portal1 , 3.25,  -25 ,  21 ,  245318,  35 ,  5.253 
18519,  portal1 , 3.25,  -25 ,  21 ,  0,  35 ,  0.000 
18532,  portal1 , 3.25,  -25 ,  21 ,  0,  35 ,  0.000 
138781,  portal1 , 3.12,  -25 ,  20 ,  242190,  34 ,  5.186 
138787,  portal1 , 3.25,  -29 ,  21 ,  246877,  35 ,  5.287 
139239,  portal1 , 3.12,  -25 ,  20 ,  209379,  34 ,  5.231 
138794,  portal1 , 3.25,  -25 ,  21 ,  248441,  35 ,  5.320 
124681,  portal1 , 3.12,  -25 ,  20 ,  173439,  34 ,  5.199 
20658,  portal1 , 3.12,  -25 ,  20 ,  0,  34 ,  0.000 
138700,  portal1 , 3.25,  -25 ,  21 ,  245316,  35 ,  5.253 
138794,  portal1 , 3.25,  -29 ,  21 ,  248442,  35 ,  5.320 
127249,  portal1 , 3.25,  -25 ,  21 ,  210940,  35 ,  5.270 
18514,  portal1 , 3.25,  -25 ,  21 ,  0,  35 ,  0.000 
138789,  portal1 , 3.12,  -25 ,  20 ,  243753,  34 ,  5.220 
