y,shp,rie,elb,x,date,images
76.43,43.21,-60.65,6.55,45284.403,2023-10-03,10-03-2023-12-34-44-403.jpg
92.77,38.75,-63.57,4.56,45284.507,2023-10-03,10-03-2023-12-34-44-507.jpg
105.51,44.72,-49.37,5.77,45284.604,2023-10-03,10-03-2023-12-34-44-604.jpg
105.54,46.12,-46.87,6.39,45284.722,2023-10-03,10-03-2023-12-34-44-722.jpg
120.53,49.15,-39.73,14.25,45284.823,2023-10-03,10-03-2023-12-34-44-823.jpg
128.21,60.9,-25.75,16.26,45284.936,2023-10-03,10-03-2023-12-34-44-936.jpg
133.53,70.77,-15.35,17.01,45285.048,2023-10-03,10-03-2023-12-34-45-048.jpg
135.71,74.36,-14.16,10.04,45285.151,2023-10-03,10-03-2023-12-34-45-151.jpg
136.84,78.99,-7.5,12.78,45285.256,2023-10-03,10-03-2023-12-34-45-256.jpg
137.01,81.57,-4.85,11.2,45285.376,2023-10-03,10-03-2023-12-34-45-376.jpg
137.2,78.5,-8.8,10.83,45285.468,2023-10-03,10-03-2023-12-34-45-468.jpg
137.4,78.06,-8.71,12.16,45285.567,2023-10-03,10-03-2023-12-34-45-567.jpg
136.63,75.95,-12.99,8.42,45285.674,2023-10-03,10-03-2023-12-34-45-674.jpg
131.63,67.99,-24.15,2.46,45285.792,2023-10-03,10-03-2023-12-34-45-792.jpg
123.18,56.25,-37.85,6.02,45285.893,2023-10-03,10-03-2023-12-34-45-893.jpg
96.18,43.25,-52.62,5.46,45286.001,2023-10-03,10-03-2023-12-34-46-001.jpg
75.24,42.06,-59.72,13.75,45286.126,2023-10-03,10-03-2023-12-34-46-126.jpg
64.42,47.49,-53.2,9.59,45286.232,2023-10-03,10-03-2023-12-34-46-232.jpg
55.13,54.54,-40.59,3.83,45286.348,2023-10-03,10-03-2023-12-34-46-348.jpg
47.39,63.97,-33.32,6.74,45286.463,2023-10-03,10-03-2023-12-34-46-463.jpg
45.25,67.81,-30.71,10.55,45286.578,2023-10-03,10-03-2023-12-34-46-578.jpg
42.36,74.63,-21.92,10.73,45286.69,2023-10-03,10-03-2023-12-34-46-690.jpg
38.27,78.49,-17.55,9.54,45286.806,2023-10-03,10-03-2023-12-34-46-806.jpg
37.15,79.47,-16.06,8.54,45286.908,2023-10-03,10-03-2023-12-34-46-908.jpg
37.21,79.48,-16.37,9.18,45287.036,2023-10-03,10-03-2023-12-34-47-036.jpg
37.96,79.13,-16.98,9.79,45287.15,2023-10-03,10-03-2023-12-34-47-150.jpg
41.91,77.97,-18.78,11.73,45287.25,2023-10-03,10-03-2023-12-34-47-250.jpg
47.14,66.95,-32.06,12.34,45287.353,2023-10-03,10-03-2023-12-34-47-353.jpg
53.01,57.84,-44.32,13.6,45287.456,2023-10-03,10-03-2023-12-34-47-456.jpg
64.06,51.2,-48.48,10.37,45287.557,2023-10-03,10-03-2023-12-34-47-557.jpg
73.87,45.49,-58.3,8.83,45287.67,2023-10-03,10-03-2023-12-34-47-670.jpg
96.31,41.59,-59.27,2.2,45287.804,2023-10-03,10-03-2023-12-34-47-804.jpg
104.52,44.18,-53.76,2.08,45287.905,2023-10-03,10-03-2023-12-34-47-905.jpg
119.6,48.63,-46.15,7.08,45288.017,2023-10-03,10-03-2023-12-34-48-017.jpg
126.77,56.02,-32.38,13.33,45288.118,2023-10-03,10-03-2023-12-34-48-118.jpg
129.69,62.92,-25.85,11.43,45288.223,2023-10-03,10-03-2023-12-34-48-223.jpg
134.32,68.27,-18.46,15.75,45288.322,2023-10-03,10-03-2023-12-34-48-322.jpg
138.4,72.47,-13.49,16.01,45288.436,2023-10-03,10-03-2023-12-34-48-436.jpg
139.46,74.09,-11.41,16.69,45288.545,2023-10-03,10-03-2023-12-34-48-545.jpg
141.74,79.33,-4.01,17.44,45288.65,2023-10-03,10-03-2023-12-34-48-650.jpg
140.14,80.62,-3.85,14.13,45288.754,2023-10-03,10-03-2023-12-34-48-754.jpg
