elev,shp,time,elb,rie
90.31,5.85,14:58:04:049,21.24,666.0
90.62,5.88,14:58:04:184,21.63,666.0
90.76,5.84,14:58:04:310,22.01,666.0
90.86,5.74,14:58:04:433,22.63,666.0
91.05,5.33,14:58:04:556,23.15,666.0
91.45,5.16,14:58:04:694,26.92,666.0
91.85,4.95,14:58:04:813,31.32,3.77
92.16,4.77,14:58:04:938,38.73,10.44
92.02,3.97,14:58:05:066,42.17,19.41
92.41,3.98,14:58:05:202,49.3,28.08
92.79,4.12,14:58:05:325,55.32,31.65
92.96,3.19,14:58:05:450,62.6,44.89
93.02,3.02,14:58:05:569,67.15,48.09
92.96,3.52,14:58:05:686,73.12,42.59
93.02,4.61,14:58:05:809,74.42,35.1
92.81,4.7,14:58:05:941,74.83,32.77
92.96,4.85,14:58:06:061,74.74,33.25
93.73,4.06,14:58:06:180,70.47,45.02
93.68,4.86,14:58:06:291,60.83,35.82
93.47,5.32,14:58:06:421,53.99,30.21
93.86,5.29,14:58:06:544,45.58,29.74
94.28,5.16,14:58:06:666,37.85,28.41
93.79,5.44,14:58:06:785,23.73,666.0
93.17,5.79,14:58:06:901,23.39,666.0
92.05,6.46,14:58:07:017,21.53,666.0
91.16,6.68,14:58:07:149,20.28,666.0
90.38,6.94,14:58:07:267,20.48,666.0
89.76,6.85,14:58:07:378,21.74,666.0
88.92,7.1,14:58:07:495,20.25,666.0
87.92,6.79,14:58:07:622,18.45,666.0
87.19,7.08,14:58:07:748,18.44,666.0
87.06,7.15,14:58:07:868,16.89,666.0
86.91,7.15,14:58:07:983,19.7,666.0
87.04,7.01,14:58:08:118,19.89,666.0
87.2,7.04,14:58:08:249,23.09,666.0
87.36,7.25,14:58:08:375,24.4,666.0
88.15,7.12,14:58:08:509,25.91,666.0
88.58,7.14,14:58:08:630,26.36,666.0
88.85,6.95,14:58:08:750,29.02,666.0
89.11,6.91,14:58:08:869,31.6,-28.18
89.71,6.34,14:58:08:993,38.34,-16.92
90.72,5.95,14:58:09:111,44.62,-2.13
90.92,5.82,14:58:09:231,49.82,4.07
91.26,5.92,14:58:09:354,54.3,10.1
91.87,5.99,14:58:09:484,60.64,15.9
91.45,6.25,14:58:09:605,62.56,11.67
92.12,4.09,14:58:09:723,70.1,30.42
92.17,3.92,14:58:09:844,73.27,32.05
92.28,5.17,14:58:09:972,73.23,25.9
92.63,5.05,14:58:10:096,73.56,29.84
93.15,5.01,14:58:10:216,63.64,32.46
93.76,5.67,14:58:10:334,58.64,31.07
94.42,5.66,14:58:10:451,51.79,33.26
94.16,5.86,14:58:10:571,46.39,28.44
93.85,5.96,14:58:10:690,35.3,18.12
94.05,6.13,14:58:10:805,26.12,666.0
93.31,6.59,14:58:10:928,24.27,666.0
93.03,6.87,14:58:11:058,22.34,666.0
92.62,7.25,14:58:11:185,21.43,666.0
91.95,6.99,14:58:11:314,21.27,666.0
91.24,7.13,14:58:11:433,19.87,666.0
89.94,7.6,14:58:11:555,20.6,666.0
89.09,8.0,14:58:11:683,16.56,666.0
88.94,8.01,14:58:11:800,23.09,666.0
88.94,7.97,14:58:11:917,22.91,666.0
88.64,7.66,14:58:12:033,22.99,666.0
88.42,7.37,14:58:12:148,21.18,666.0
88.19,7.17,14:58:12:270,21.37,666.0
88.34,7.21,14:58:12:399,22.38,666.0
88.34,7.37,14:58:12:521,25.41,666.0
88.49,7.37,14:58:12:638,30.51,-31.9
88.99,7.53,14:58:12:764,37.07,-22.82
89.68,7.31,14:58:12:887,41.72,-13.25
90.14,7.49,14:58:13:002,45.33,-7.43
90.96,7.45,14:58:13:128,49.83,2.9
92.08,7.56,14:58:13:245,55.35,10.5
92.87,7.32,14:58:13:371,56.1,17.47
93.19,6.27,14:58:13:490,59.59,25.72
93.5,5.02,14:58:13:613,66.05,39.39
93.65,4.47,14:58:13:741,66.51,44.3
93.61,4.92,14:58:13:852,65.06,39.47
93.27,6.19,14:58:13:969,61.99,27.99
93.52,6.79,14:58:14:094,57.04,24.22
93.07,6.8,14:58:14:216,52.24,18.67
93.0,6.55,14:58:14:332,47.33,16.54
93.2,6.02,14:58:14:451,37.08,12.32
92.33,6.37,14:58:14:574,31.56,5.29
91.72,6.39,14:58:14:702,26.69,666.0
91.02,7.15,14:58:14:824,24.56,666.0
90.36,7.33,14:58:14:946,21.99,666.0
89.48,7.94,14:58:15:071,18.62,666.0
88.79,8.04,14:58:15:190,21.02,666.0
88.92,7.84,14:58:15:315,18.08,666.0
88.73,7.61,14:58:15:439,20.0,666.0
88.43,7.56,14:58:15:566,22.45,666.0
88.39,7.72,14:58:15:701,22.31,666.0
88.22,7.66,14:58:15:831,21.88,666.0
88.19,7.61,14:58:15:953,19.85,666.0
88.47,7.31,14:58:16:080,23.19,666.0
88.24,6.91,14:58:16:205,21.08,666.0
88.32,6.77,14:58:16:336,23.34,666.0
88.71,6.67,14:58:16:458,27.66,666.0
89.54,6.3,14:58:16:582,31.32,-23.25
90.09,6.18,14:58:16:711,39.09,-14.12
90.6,5.88,14:58:16:835,42.84,-5.84
90.64,5.4,14:58:16:968,47.3,-1.14
91.23,5.01,14:58:17:096,51.18,7.93
91.48,5.16,14:58:17:225,54.57,10.39
91.55,5.12,14:58:17:362,57.99,12.53
91.78,4.61,14:58:17:490,60.0,18.29
91.6,5.14,14:58:17:612,60.41,14.38
91.68,5.77,14:58:17:735,58.66,12.73
91.9,5.76,14:58:17:863,52.17,14.06
91.54,5.33,14:58:17:984,47.62,9.72
91.67,5.16,14:58:18:100,43.4,9.24
91.81,5.1,14:58:18:214,37.95,8.46
91.66,5.29,14:58:18:337,33.71,4.98
91.55,5.75,14:58:18:471,28.97,666.0
91.25,6.0,14:58:18:602,23.98,666.0
91.09,6.56,14:58:18:739,19.97,666.0
90.65,7.08,14:58:18:865,18.1,666.0
90.19,6.97,14:58:18:984,17.83,666.0
89.3,7.09,14:58:19:114,17.8,666.0
88.23,6.64,14:58:19:250,18.06,666.0
88.4,6.59,14:58:19:373,20.21,666.0
88.54,6.41,14:58:19:498,20.32,666.0
88.77,6.21,14:58:19:626,20.02,666.0
89.06,6.21,14:58:19:749,21.32,666.0
89.56,6.36,14:58:19:873,21.48,666.0
90.35,6.04,14:58:20:001,22.79,666.0
91.28,5.76,14:58:20:121,25.32,666.0
92.3,4.91,14:58:20:245,29.63,666.0
92.74,5.07,14:58:20:373,32.22,9.03
93.13,4.79,14:58:20:504,40.53,20.05
93.0,3.93,14:58:20:633,47.08,30.33
92.69,4.21,14:58:20:753,52.36,27.68
92.9,3.85,14:58:20:870,56.48,33.04
92.69,3.08,14:58:20:983,59.78,39.92
92.41,3.35,14:58:21:106,59.77,34.34
92.66,3.13,14:58:21:222,59.42,38.98
92.56,3.36,14:58:21:350,51.84,35.24
92.16,3.81,14:58:21:480,51.15,25.72
91.42,4.54,14:58:21:610,47.86,10.85
91.45,3.44,14:58:21:728,40.54,14.31
91.8,2.8,14:58:21:845,37.53,21.14
91.72,2.7,14:58:21:968,33.12,17.71
91.56,2.98,14:58:22:092,24.78,666.0
90.99,3.12,14:58:22:222,19.05,666.0
90.22,3.68,14:58:22:348,20.68,666.0
89.62,3.76,14:58:22:471,20.23,666.0
88.87,3.81,14:58:22:590,16.68,666.0
88.41,4.3,14:58:22:717,16.32,666.0
87.72,4.7,14:58:22:836,16.29,666.0
87.47,5.02,14:58:22:956,15.66,666.0
87.44,5.12,14:58:23:072,17.26,666.0
87.4,5.1,14:58:23:197,17.2,666.0
87.27,5.08,14:58:23:317,17.02,666.0
87.08,5.28,14:58:23:436,20.34,666.0
87.05,5.35,14:58:23:570,22.71,666.0
87.16,5.66,14:58:23:700,25.9,666.0
87.83,5.65,14:58:23:829,29.52,666.0
88.11,5.66,14:58:23:957,32.14,-34.33
88.57,4.85,14:58:24:089,42.1,-26.73
89.04,4.57,14:58:24:218,47.39,-18.13
89.68,4.29,14:58:24:357,51.56,-7.55
90.17,3.87,14:58:24:484,55.0,-0.84
90.6,4.02,14:58:24:607,56.62,4.32
90.97,4.37,14:58:24:724,59.96,8.36
91.22,4.18,14:58:24:847,61.6,14.29
91.62,4.3,14:58:24:974,61.37,18.06
91.88,4.9,14:58:25:097,56.87,15.96
91.46,4.8,14:58:25:214,48.18,9.81
92.04,4.94,14:58:25:339,42.07,11.81
92.09,4.55,14:58:25:453,33.84,11.11
91.88,5.15,14:58:25:581,24.71,666.0
91.31,5.33,14:58:25:704,23.54,666.0
90.05,5.9,14:58:25:826,19.55,666.0
89.37,6.5,14:58:25:943,18.86,666.0
89.06,7.22,14:58:26:064,17.28,666.0
86.71,8.98,14:58:26:186,20.43,666.0
86.52,8.77,14:58:26:310,20.15,666.0
86.52,8.45,14:58:26:435,21.67,666.0
86.69,8.24,14:58:26:555,18.04,666.0
86.74,8.32,14:58:26:675,17.02,666.0
86.77,8.16,14:58:26:809,16.18,666.0
86.7,8.18,14:58:26:937,17.44,666.0
86.58,8.24,14:58:27:051,23.43,666.0
86.59,8.21,14:58:27:172,24.24,666.0
86.77,8.05,14:58:27:291,29.88,666.0
87.1,7.98,14:58:27:422,33.77,-37.88
87.72,7.57,14:58:27:540,39.43,-30.28
88.32,6.97,14:58:27:669,44.32,-22.32
88.82,6.5,14:58:27:786,47.87,-15.54
88.1,6.41,14:58:27:905,50.28,-20.58
88.74,6.2,14:58:28:030,55.54,-13.87
88.85,6.67,14:58:28:145,60.36,-11.8
88.85,7.0,14:58:28:268,61.74,-10.9
88.69,6.97,14:58:28:384,63.34,-11.81
88.83,7.05,14:58:28:504,63.74,-10.52
89.57,7.0,14:58:28:632,59.31,-5.98
90.86,6.02,14:58:28:758,55.49,3.52
92.34,3.83,14:58:28:887,47.57,25.69
92.26,3.05,14:58:29:021,41.84,24.2
93.5,2.13,14:58:29:144,33.29,45.92
93.66,2.25,14:58:29:265,27.6,666.0
93.45,3.14,14:58:29:384,23.4,666.0
93.26,3.56,14:58:29:508,21.4,666.0
92.54,5.04,14:58:29:636,21.04,666.0
92.04,5.62,14:58:29:752,18.26,666.0
91.5,5.43,14:58:29:872,18.17,666.0
90.02,5.65,14:58:29:996,20.81,666.0
89.3,5.83,14:58:30:127,19.51,666.0
89.08,5.92,14:58:30:247,18.49,666.0
88.82,6.06,14:58:30:367,18.66,666.0
88.59,6.09,14:58:30:488,18.52,666.0
88.53,6.57,14:58:30:615,20.83,666.0
88.45,6.46,14:58:30:736,19.65,666.0
87.72,6.49,14:58:30:851,22.25,666.0
87.28,6.75,14:58:30:970,24.03,666.0
87.4,6.68,14:58:31:096,30.73,-44.24
87.59,6.63,14:58:31:218,37.79,-36.56
87.88,6.79,14:58:31:335,39.05,-32.88
88.4,6.54,14:58:31:451,42.19,-23.79
88.48,6.25,14:58:31:566,47.4,-20.66
88.25,5.91,14:58:31:697,51.45,-20.51
88.88,5.87,14:58:31:812,55.67,-12.38
88.97,5.98,14:58:31:934,59.39,-10.63
89.26,5.9,14:58:32:056,62.12,-7.05
89.38,5.78,14:58:32:180,63.32,-5.62
89.34,5.88,14:58:32:302,63.6,-5.88
89.94,5.81,14:58:32:419,61.55,-0.93
90.46,5.44,14:58:32:537,54.58,2.78
90.77,5.18,14:58:32:655,49.19,4.67
91.07,4.83,14:58:32:775,44.93,7.19
91.62,4.31,14:58:32:891,37.11,10.25
91.49,4.51,14:58:33:004,31.95,1.81
91.62,4.71,14:58:33:134,27.06,666.0
91.28,5.19,14:58:33:263,21.58,666.0
90.94,5.77,14:58:33:395,18.27,666.0
90.47,6.17,14:58:33:510,18.44,666.0
90.09,6.41,14:58:33:638,19.01,666.0
89.34,7.0,14:58:33:760,17.45,666.0
89.15,6.84,14:58:33:879,18.02,666.0
89.09,6.73,14:58:34:008,18.5,666.0
88.81,6.45,14:58:34:124,18.46,666.0
88.2,5.77,14:58:34:242,19.93,666.0
88.07,5.54,14:58:34:364,20.14,666.0
87.88,5.5,14:58:34:488,21.28,666.0
87.85,5.58,14:58:34:628,24.05,666.0
88.0,4.98,14:58:34:758,30.04,-41.81
88.46,4.71,14:58:34:874,33.84,-30.68
88.76,4.58,14:58:34:995,37.83,-25.57
89.33,4.12,14:58:35:124,40.34,-18.08
89.25,4.03,14:58:35:247,46.96,-15.73
88.16,4.13,14:58:35:370,51.13,-27.39
88.0,4.08,14:58:35:483,55.96,-27.61
87.77,4.44,14:58:35:605,62.48,-27.9
87.79,4.76,14:58:35:743,66.44,-23.8
88.02,4.91,14:58:35:866,68.78,-23.39
88.15,4.84,14:58:35:982,64.68,-21.13
88.57,4.81,14:58:36:099,62.73,-17.34
88.95,4.95,14:58:36:219,55.31,-15.07
88.96,5.2,14:58:36:352,49.97,-17.21
89.79,4.91,14:58:36:470,44.68,-10.92
90.45,4.94,14:58:36:585,31.84,-8.75
90.46,4.87,14:58:36:706,28.34,666.0
90.22,5.77,14:58:36:829,25.17,666.0
90.07,6.3,14:58:36:947,21.66,666.0
89.76,6.76,14:58:37:076,20.76,666.0
89.59,6.82,14:58:37:206,16.89,666.0
89.21,7.43,14:58:37:335,19.38,666.0
88.64,7.79,14:58:37:462,19.9,666.0
88.62,7.85,14:58:37:579,19.47,666.0
88.55,7.89,14:58:37:701,19.19,666.0
88.33,7.73,14:58:37:820,19.36,666.0
88.22,7.63,14:58:37:937,19.36,666.0
88.13,7.43,14:58:38:054,19.45,666.0
87.84,7.3,14:58:38:173,13.08,666.0
87.78,7.39,14:58:38:289,16.09,666.0
87.79,7.6,14:58:38:415,19.02,666.0
87.69,7.66,14:58:38:544,20.31,666.0
87.72,7.75,14:58:38:661,26.4,666.0
88.15,7.97,14:58:38:777,30.37,-31.61
88.42,7.93,14:58:38:907,37.0,-25.06
88.8,7.91,14:58:39:054,41.81,-18.65
89.4,7.54,14:58:39:184,46.92,-9.95
89.62,7.68,14:58:39:309,54.26,-5.19
89.57,7.86,14:58:39:440,57.77,-3.87
89.17,8.01,14:58:39:576,63.48,-8.82
88.9,8.36,14:58:39:696,65.2,-8.22
88.85,8.4,14:58:39:809,64.55,-8.74
88.93,8.34,14:58:39:936,62.96,-8.8
89.51,7.91,14:58:40:057,54.2,-5.96
89.37,7.28,14:58:40:185,47.98,-10.93
89.81,6.91,14:58:40:303,39.95,-12.68
89.66,6.61,14:58:40:421,31.56,-18.44
89.55,6.46,14:58:40:545,28.77,666.0
89.26,6.34,14:58:40:676,24.32,666.0
88.47,6.36,14:58:40:804,22.72,666.0
88.03,6.63,14:58:40:919,21.47,666.0
87.72,7.16,14:58:41:034,20.8,666.0
87.19,7.38,14:58:41:162,17.14,666.0
86.54,7.86,14:58:41:282,17.63,666.0
86.21,7.92,14:58:41:402,18.3,666.0
85.97,8.07,14:58:41:519,18.73,666.0
85.79,8.12,14:58:41:654,19.78,666.0
85.73,8.12,14:58:41:783,21.21,666.0
85.71,8.34,14:58:41:907,17.73,666.0
85.32,8.23,14:58:42:018,20.65,666.0
84.89,8.11,14:58:42:138,23.22,666.0
84.8,8.19,14:58:42:265,29.22,666.0
84.76,7.9,14:58:42:385,35.42,-45.73
85.58,7.47,14:58:42:512,41.53,-34.27
86.19,7.11,14:58:42:644,47.19,-34.18
86.85,6.88,14:58:42:769,51.46,-29.13
87.32,6.83,14:58:42:885,57.4,-22.99
87.04,7.08,14:58:43:013,63.53,-22.64
87.06,7.22,14:58:43:134,65.36,-21.55
86.96,7.57,14:58:43:251,66.46,-20.78
87.42,7.6,14:58:43:375,65.06,-18.84
88.44,7.44,14:58:43:493,54.79,-13.29
87.58,7.03,14:58:43:612,48.22,-23.57
88.17,7.38,14:58:43:739,43.55,-20.72
88.53,7.13,14:58:43:858,37.83,-21.31
