elev,shp,time,elb,rie
154.84,15.68,13:59:57:832,20.94,666.0
154.86,21.64,13:59:57:961,20.61,666.0
154.32,28.26,13:59:58:085,20.22,666.0
152.19,38.15,13:59:58:211,18.67,666.0
148.47,48.41,13:59:58:333,18.98,666.0
144.09,55.15,13:59:58:462,18.31,666.0
138.26,60.34,13:59:58:591,18.84,666.0
132.73,62.97,13:59:58:731,19.43,666.0
127.13,64.64,13:59:58:863,17.82,666.0
119.9,65.31,13:59:58:989,21.82,666.0
114.96,66.35,13:59:59:113,21.83,666.0
104.06,63.94,13:59:59:240,28.96,666.0
91.73,60.34,13:59:59:389,38.8,49.82
82.69,61.14,13:59:59:532,35.24,46.72
72.86,59.13,13:59:59:666,39.6,41.24
67.42,63.89,13:59:59:803,33.83,33.2
64.48,64.22,13:59:59:941,21.48,666.0
53.62,59.6,14:00:00:078,23.67,666.0
45.71,55.58,14:00:00:202,26.02,666.0
37.61,44.67,14:00:00:322,32.34,27.76
37.38,44.29,14:00:00:447,23.07,666.0
28.42,28.02,14:00:00:567,32.68,25.02
25.46,22.3,14:00:00:695,33.62,20.18
23.63,17.15,14:00:00:830,31.15,23.0
21.55,10.45,14:00:00:967,29.5,666.0
20.23,0.63,14:00:01:094,29.48,666.0
19.5,-5.76,14:00:01:257,29.0,666.0
18.29,-9.32,14:00:01:400,28.61,666.0
16.67,-14.76,14:00:01:542,27.54,666.0
15.82,-18.16,14:00:01:691,27.39,666.0
15.68,-20.99,14:00:01:838,28.1,666.0
15.22,-21.12,14:00:01:976,27.07,666.0
15.18,-22.22,14:00:02:109,27.02,666.0
15.29,-22.79,14:00:02:235,27.22,666.0
14.64,-19.97,14:00:02:369,25.32,666.0
14.52,-19.16,14:00:02:514,25.52,666.0
12.5,-14.08,14:00:02:671,25.78,666.0
12.18,3.14,14:00:02:805,26.87,666.0
17.16,18.84,14:00:02:950,30.26,11.07
20.06,27.36,14:00:03:084,37.12,9.53
26.57,39.06,14:00:03:225,37.79,15.72
45.32,57.01,14:00:03:362,24.87,666.0
56.36,63.76,14:00:03:492,22.08,666.0
57.83,65.71,14:00:03:630,24.4,666.0
64.84,65.65,14:00:03:779,37.97,30.96
77.87,69.78,14:00:03:917,28.01,666.0
92.47,70.33,14:00:04:064,18.84,666.0
105.27,66.14,14:00:04:192,19.68,666.0
108.6,66.86,14:00:04:335,21.68,666.0
111.43,63.24,14:00:04:464,25.68,666.0
121.5,61.61,14:00:04:600,21.35,666.0
125.73,60.25,14:00:04:738,22.78,666.0
128.24,58.69,14:00:04:861,26.46,666.0
136.2,56.4,14:00:05:000,21.4,666.0
140.38,53.2,14:00:05:123,21.35,666.0
143.58,49.53,14:00:05:247,20.37,666.0
148.31,42.07,14:00:05:383,17.82,666.0
150.51,33.99,14:00:05:510,17.77,666.0
150.92,26.58,14:00:05:639,20.0,666.0
152.64,14.92,14:00:05:768,19.89,666.0
152.42,6.78,14:00:05:899,21.1,666.0
152.28,3.53,14:00:06:025,24.61,666.0
152.31,3.36,14:00:06:144,24.04,666.0
152.25,4.38,14:00:06:266,23.67,666.0
152.43,3.99,14:00:06:394,23.2,666.0
152.33,5.5,14:00:06:525,22.14,666.0
152.49,8.31,14:00:06:654,21.58,666.0
