elev,shp,time,elb,rie
15.37,-20.86,17:25:56:833,34.24,23.17
15.79,-19.01,17:25:56:958,33.6,22.82
17.51,-19.57,17:25:57:073,33.73,24.15
18.14,-20.52,17:25:57:188,34.09,24.15
18.66,-19.99,17:25:57:305,33.95,24.86
18.78,-20.62,17:25:57:415,34.44,24.44
18.41,-17.9,17:25:57:525,33.62,24.52
18.68,-18.58,17:25:57:634,34.05,24.49
18.89,-19.37,17:25:57:748,34.46,24.02
18.51,-17.7,17:25:57:857,33.68,24.55
17.86,-14.74,17:25:57:968,31.93,25.71
18.04,-15.62,17:25:58:077,32.07,25.81
17.54,-15.94,17:25:58:186,32.65,24.37
17.29,-16.93,17:25:58:296,32.91,23.38
16.67,-16.58,17:25:58:408,32.8,22.94
16.48,-15.73,17:25:58:519,32.69,23.28
17.06,-16.25,17:25:58:639,32.97,24.07
16.66,-15.86,17:25:58:752,32.64,24.87
16.53,-16.92,17:25:58:859,32.25,24.65
16.53,-16.77,17:25:58:981,32.12,24.85
16.28,-15.87,17:25:59:107,31.57,25.24
15.82,-14.54,17:25:59:221,30.98,25.43
15.64,-14.1,17:25:59:335,30.99,25.4
16.21,-14.26,17:25:59:446,31.33,26.4
16.11,-14.39,17:25:59:560,31.36,26.2
15.61,-13.71,17:25:59:682,30.81,25.25
15.03,-13.4,17:25:59:806,30.49,24.66
14.88,-12.49,17:25:59:921,30.63,23.89
15.23,-12.74,17:26:00:034,30.99,25.61
15.47,-14.46,17:26:00:141,31.24,26.02
15.61,-15.95,17:26:00:250,31.55,25.35
16.07,-16.89,17:26:00:367,31.47,25.36
16.82,-17.89,17:26:00:478,32.1,25.22
17.3,-18.63,17:26:00:595,33.01,24.95
17.33,-18.93,17:26:00:705,33.27,24.63
17.3,-19.06,17:26:00:820,33.57,24.38
18.13,-19.34,17:26:00:933,34.62,24.37
18.27,-17.83,17:26:01:050,34.22,25.28
18.64,-17.17,17:26:01:167,33.86,26.29
18.96,-17.18,17:26:01:279,34.08,24.58
19.15,-17.78,17:26:01:389,34.54,22.98
20.6,-18.44,17:26:01:503,35.34,23.97
21.39,-18.86,17:26:01:620,35.66,24.19
21.74,-20.72,17:26:01:736,36.18,23.14
21.56,-20.86,17:26:01:862,35.91,22.77
21.73,-20.68,17:26:01:987,35.66,23.54
21.82,-21.24,17:26:02:108,35.46,22.93
21.79,-19.12,17:26:02:226,34.82,24.32
21.98,-21.11,17:26:02:335,35.45,23.15
22.0,-21.11,17:26:02:446,35.83,22.76
22.01,-21.1,17:26:02:557,36.02,22.72
21.74,-21.61,17:26:02:672,36.31,22.07
21.62,-21.93,17:26:02:784,36.42,21.73
21.56,-22.13,17:26:02:896,36.67,21.31
21.61,-22.32,17:26:03:011,36.9,21.56
21.78,-22.22,17:26:03:125,37.14,21.86
21.92,-22.32,17:26:03:233,37.43,22.59
