x,y,x,y
45277.534,36.34,45277.534,16.51
45277.64145238095,38.10071210123989,45277.64164035088,18.841638287066846
45277.7489047619,41.48618204782886,45277.749280701755,27.870322427932138
45277.85635714286,53.18232617010469,45277.85692105263,38.80018713489085
45277.96380952381,66.47211904784231,45277.96456140351,59.09838786204032
45278.07126190476,82.28422677982373,45278.07220175439,77.11192982550826
45278.178714285714,83.67480867336327,45278.179842105266,102.159619884123
45278.286166666665,90.78899999948524,45278.28748245614,123.97880116967784
45278.393619047616,107.84599753690972,45278.395122807015,129.38801587295748
45278.501071428575,122.75465773843163,45278.50276315789,141.41241353371555
45278.608523809526,132.34076991541826,45278.61040350877,152.1055288221136
45278.71597619048,136.81008818342934,45278.71804385965,158.12175438604652
45278.82342857143,138.17941176470148,45278.825684210526,163.53723259753463
45278.93088095238,138.3819171626961,45278.9333245614,159.93345703996067
45279.03833333333,134.87904320987332,45279.04096491228,173.25399122798862
45279.14578571429,127.68841269790288,45279.14860526316,166.4066315779633
45279.25323809524,117.77855293542517,45279.25624561404,147.19063427673015
45279.36069047619,103.22098506049494,45279.363885964915,126.70717220592034
45279.46814285714,85.88093053765695,45279.47152631579,110.95251461830178
45279.57559523809,78.4626496935471,45279.57916666666,94.52000000039804
45279.683047619044,78.58104946831975,45279.68680701754,76.10381091658306
45279.7905,63.53574999935278,45279.79444736842,58.11149122806524
45279.897952380954,49.92314102537094,45279.902087719296,46.79606237819023
45280.005404761905,42.461131566009584,45280.009728070174,36.81009096820175
45280.112857142856,39.74528801839783,45280.11736842105,30.32328947364104
45280.22030952381,38.2895952381287,45280.22500877193,27.653104131291126
45280.32776190476,38.01294832826849,45280.33264912281,25.1012014885558
45280.43521428572,38.074402810304896,45280.440289473685,24.83469172932161
45280.54266666667,43.714259259400556,45280.54792982456,26.106057791795426
45280.65011904762,47.73114374713686,45280.65557017544,35.630197368920285
45280.75757142857,50.527678571270116,45280.76321052632,50.22187969977996
45280.86502380952,62.58717578497856,45280.870850877196,69.12327621471238
45280.97247619047,75.75224761884516,45280.97849122807,80.59815078219185
45281.07992857143,86.50806122455623,45281.086131578944,100.34626315804367
45281.18738095238,95.80912698440007,45281.19377192982,113.17088888876299
45281.29483333333,107.62805810424673,45281.3014122807,124.34109941540484
45281.402285714285,121.02854197326378,45281.40905263158,134.51714035088
45281.509738095236,130.03169195085718,45281.516692982455,144.97581140370235
45281.61719047619,136.30031746015896,45281.62433333333,153.87362745124116
45281.724642857145,138.94561428573425,45281.73197368421,159.99816541357077
45281.8320952381,140.04476190475373,45281.83961403509,166.10396854214034
45281.93954761905,140.44899749373505,45281.94725438597,161.0221929820613
45282.047,139.01333333337894,45282.054894736844,160.83359133213997
45282.15445238095,138.00060252674228,45282.16253508772,162.70197270888352
45282.2619047619,134.33100529130024,45282.27017543859,155.1920272903243
45282.36935714286,129.74758533497652,45282.37781578947,138.99414860685337
45282.47680952381,106.7242810454312,45282.48545614035,124.02713981939307
45282.58426190476,98.75900383140151,45282.593096491226,105.92100103197946
45282.69171428571,88.06328185358109,45282.700736842104,92.59102167161565
45282.799166666664,74.48739130452394,45282.80837719298,78.82337092701516
45282.90661904762,58.17331677018862,45282.91601754386,67.4568844524272
45283.01407142857,49.49225127516205,45283.02365789474,58.636170360094525
45283.121523809525,46.9890000000406,45283.131298245615,49.292378167381614
45283.228976190476,41.927285288993204,45283.23893859649,40.72422899330973
45283.33642857143,40.537900000037745,45283.34657894737,36.4034947366782
45283.44388095238,39.40499271146389,45283.45421929825,32.231822916392524
45283.55133333334,37.11975308639949,45283.561859649126,29.213261093796277
45283.65878571429,36.684084249087825,45283.669499999996,26.962297297300434
45283.76623809524,36.81716748768689,45283.777140350874,24.896001031977317
45283.87369047619,36.910796536794614,45283.88478070175,21.771192508057826
45283.98114285714,38.59096103893089,45283.99242105263,20.0164438121993
45284.08859523809,38.77938903862988,45284.10006140351,30.583085299480864
45284.19604761905,41.19326649962258,45284.207701754385,48.241488570088826
45284.3035,53.83932038895085,45284.31534210526,67.62673374709824
45284.41095238095,77.67944139228528,45284.42298245614,89.70966374370764
45284.518404761904,94.26790378024724,45284.53062280702,107.11096491260734
45284.625857142855,105.51555690072597,45284.638263157896,117.18936479242907
45284.73330952381,107.21851249348848,45284.745903508774,130.9869511619936
45284.840761904765,121.7371807841889,45284.85354385965,140.6437719302782
45284.948214285716,128.79017857143057,45284.96118421052,152.22870554732629
45285.05566666667,133.6922653721314,45285.0688245614,158.53010025051597
45285.16311904762,135.8404240362898,45285.17646491228,165.40982456144235
45285.27057142857,136.86064285713903,45285.284105263156,160.2813157895046
45285.37802380952,137.01417960662536,45285.39174561403,171.3110410895323
45285.48547619048,137.23530543530876,45285.49938596491,170.54657894706685
45285.59292857143,137.2134112149556,45285.60702631579,165.60890037563632
45285.70038095238,135.51216303467478,45285.71466666667,152.8967676765667
45285.80783333333,130.30533003312584,45285.822307017545,140.11244736818918
45285.91528571428,117.60857142822496,45285.92994736842,124.05436532481917
45286.022738095235,92.53843428571243,45286.0375877193,111.61798041591369
45286.13019047619,74.8122551656282,45286.14522807018,99.66213184362834
45286.237642857144,63.968084975526615,45286.252868421056,79.33260964848874
45286.345095238095,55.362631362740245,45286.360508771926,62.5949122808744
45286.45254761905,48.093490683498494,45286.468149122804,54.305551378389715
45286.56,45.584956521813304,45286.57578947368,50.05312159714094
45286.66745238095,42.94180909878637,45286.68342982456,43.0861954887428
45286.77490476191,39.366375205108135,45286.79107017544,37.6459741459067
45286.88235714286,37.431568627454055,45286.898710526315,32.061820767978126
