elev,shp,time,elb,rie
36.44,-5.59,18:23:01:983,19.24,666.0
49.34,-2.73,18:23:02:117,15.91,666.0
61.92,-1.1,18:23:02:242,13.36,666.0
73.17,-0.16,18:23:02:366,13.27,666.0
80.51,0.17,18:23:02:497,21.51,666.0
92.99,1.84,18:23:02:631,21.12,666.0
107.09,2.1,18:23:02:757,14.54,666.0
116.37,4.16,18:23:02:886,11.2,666.0
126.52,4.11,18:23:03:009,13.02,666.0
132.26,6.11,18:23:03:144,15.21,666.0
137.05,6.89,18:23:03:276,20.21,666.0
142.27,11.66,18:23:03:408,13.49,666.0
147.26,15.83,18:23:03:538,18.52,666.0
153.15,21.38,18:23:03:668,11.73,666.0
157.13,30.3,18:23:03:810,11.3,666.0
158.4,39.57,18:23:03:947,16.0,666.0
161.1,55.05,18:23:04:074,11.65,666.0
163.25,74.27,18:23:04:207,6.38,666.0
162.15,75.97,18:23:04:342,11.02,666.0
159.25,51.69,18:23:04:477,10.06,666.0
154.97,32.25,18:23:04:621,12.04,666.0
144.93,15.52,18:23:04:757,13.42,666.0
138.14,6.11,18:23:04:895,10.59,666.0
129.11,2.06,18:23:05:013,11.92,666.0
118.71,-4.17,18:23:05:137,7.09,666.0
103.3,-9.33,18:23:05:261,10.31,666.0
90.74,-12.76,18:23:05:389,12.93,666.0
76.25,-14.31,18:23:05:515,6.48,666.0
60.79,-16.5,18:23:05:641,10.42,666.0
51.7,-18.08,18:23:05:766,12.4,666.0
41.92,-20.28,18:23:05:902,9.11,666.0
32.5,-22.12,18:23:06:031,6.47,666.0
23.73,-25.55,18:23:06:154,6.44,666.0
16.35,-34.4,18:23:06:275,11.7,666.0
14.89,-33.09,18:23:06:407,13.59,666.0
18.47,-27.73,18:23:06:541,15.85,666.0
26.59,-22.01,18:23:06:675,17.13,666.0
38.15,-14.74,18:23:06:813,13.65,666.0
49.58,-10.74,18:23:06:942,18.7,666.0
60.73,-7.47,18:23:07:080,19.84,666.0
73.89,-4.64,18:23:07:220,11.43,666.0
82.65,-2.71,18:23:07:347,17.49,666.0
99.01,1.27,18:23:07:472,6.27,666.0
109.85,2.39,18:23:07:602,9.87,666.0
120.22,3.94,18:23:07:735,7.1,666.0
125.21,3.93,18:23:07:868,11.92,666.0
135.98,7.22,18:23:07:993,16.47,666.0
141.99,8.87,18:23:08:123,18.02,666.0
148.51,13.47,18:23:08:256,20.29,666.0
152.23,19.81,18:23:08:394,16.75,666.0
155.16,28.58,18:23:08:529,14.92,666.0
158.48,39.42,18:23:08:651,13.37,666.0
164.46,57.67,18:23:08:791,10.09,666.0
164.92,66.46,18:23:08:927,8.95,666.0
164.24,57.88,18:23:09:060,6.38,666.0
159.69,31.09,18:23:09:201,12.57,666.0
154.12,12.47,18:23:09:328,11.73,666.0
140.91,3.66,18:23:09:457,9.02,666.0
131.5,-1.9,18:23:09:588,12.25,666.0
116.48,-7.76,18:23:09:707,9.46,666.0
104.47,-10.78,18:23:09:843,11.4,666.0
91.68,-10.24,18:23:09:973,7.04,666.0
73.68,-12.3,18:23:10:109,9.05,666.0
59.34,-17.08,18:23:10:253,7.78,666.0
48.19,-22.99,18:23:10:388,12.67,666.0
39.45,-26.93,18:23:10:514,10.25,666.0
30.93,-26.93,18:23:10:635,6.92,666.0
23.92,-25.16,18:23:10:764,5.56,666.0
13.45,-28.35,18:23:10:903,12.47,666.0
13.13,-27.18,18:23:11:049,15.28,666.0
22.25,-20.35,18:23:11:175,17.62,666.0
40.22,-13.67,18:23:11:302,11.43,666.0
55.94,-9.3,18:23:11:441,18.96,666.0
71.2,-6.56,18:23:11:574,16.24,666.0
84.41,-4.55,18:23:11:702,14.28,666.0
94.83,-2.47,18:23:11:828,16.73,666.0
110.06,-2.11,18:23:11:972,6.63,666.0
116.2,-2.3,18:23:12:108,12.43,666.0
126.48,0.91,18:23:12:237,16.5,666.0
136.02,2.28,18:23:12:367,14.26,666.0
142.93,2.89,18:23:12:484,11.99,666.0
149.91,6.63,18:23:12:618,20.05,666.0
155.07,13.15,18:23:12:758,18.78,666.0
162.74,34.94,18:23:12:908,8.21,666.0
165.15,59.88,18:23:13:037,10.67,666.0
164.35,68.6,18:23:13:161,10.24,666.0
162.51,73.64,18:23:13:293,7.62,666.0
160.78,55.01,18:23:13:433,9.11,666.0
156.26,30.78,18:23:13:563,12.41,666.0
146.22,10.64,18:23:13:701,18.46,666.0
137.23,2.92,18:23:13:843,12.17,666.0
129.99,-0.73,18:23:13:959,13.71,666.0
115.8,-6.88,18:23:14:086,10.76,666.0
101.4,-10.18,18:23:14:207,10.3,666.0
88.81,-13.48,18:23:14:336,6.54,666.0
77.03,-14.74,18:23:14:461,5.02,666.0
61.11,-16.17,18:23:14:584,9.14,666.0
50.1,-20.09,18:23:14:724,7.02,666.0
41.41,-20.55,18:23:14:858,3.2,666.0
31.16,-22.67,18:23:14:985,3.99,666.0
22.45,-25.92,18:23:15:106,8.47,666.0
17.75,-28.34,18:23:15:233,11.65,666.0
15.72,-29.08,18:23:15:361,13.66,666.0
15.05,-26.77,18:23:15:492,14.76,666.0
18.71,-22.52,18:23:15:628,18.68,666.0
28.41,-16.05,18:23:15:757,18.34,666.0
42.6,-12.28,18:23:15:888,19.49,666.0
54.84,-10.05,18:23:16:024,22.18,666.0
67.94,-7.4,18:23:16:153,18.74,666.0
78.82,-5.81,18:23:16:287,12.64,666.0
87.86,-5.23,18:23:16:420,15.78,666.0
99.5,-3.51,18:23:16:549,13.76,666.0
108.91,-3.64,18:23:16:687,9.5,666.0
116.8,-3.1,18:23:16:831,11.5,666.0
126.62,-1.64,18:23:16:953,8.88,666.0
135.05,-0.22,18:23:17:078,15.02,666.0
142.94,0.61,18:23:17:205,13.62,666.0
147.26,5.02,18:23:17:336,16.78,666.0
151.59,11.16,18:23:17:462,15.09,666.0
158.37,22.77,18:23:17:611,13.39,666.0
161.35,44.29,18:23:17:743,9.27,666.0
163.96,66.7,18:23:17:904,9.1,666.0
165.84,94.8,18:23:18:048,6.58,666.0
162.09,63.59,18:23:18:197,12.72,666.0
160.03,40.37,18:23:18:328,8.33,666.0
153.51,20.78,18:23:18:466,13.08,666.0
141.63,10.68,18:23:18:595,7.68,666.0
132.08,4.49,18:23:18:721,11.06,666.0
119.35,-2.74,18:23:18:844,7.54,666.0
110.6,-9.27,18:23:18:972,5.79,666.0
101.28,-10.53,18:23:19:105,8.18,666.0
93.33,-11.45,18:23:19:232,9.42,666.0
83.93,-12.27,18:23:19:353,7.4,666.0
70.28,-15.28,18:23:19:488,11.83,666.0
58.24,-19.16,18:23:19:615,7.47,666.0
49.28,-20.07,18:23:19:741,7.08,666.0
41.66,-20.05,18:23:19:875,5.44,666.0
32.8,-20.31,18:23:20:009,2.79,666.0
25.03,-23.05,18:23:20:139,6.69,666.0
