elev,shp,time,elb,rie
43.65,36.49,15:27:07:722,121.57,6.97
74.04,55.64,15:27:07:838,125.1,19.84
81.01,55.84,15:27:07:959,121.29,22.36
93.01,52.53,15:27:08:088,116.61,35.42
102.69,39.86,15:27:08:214,113.24,52.01
108.21,36.25,15:27:08:352,114.85,57.61
106.16,20.93,15:27:08:476,125.33,60.49
102.72,6.14,15:27:08:595,132.23,77.06
103.48,-4.64,15:27:08:715,131.78,116.0
104.1,-14.08,15:27:08:853,132.74,134.47
109.73,-20.35,15:27:08:976,134.48,124.56
102.13,-11.19,15:27:09:094,143.76,127.17
104.93,-10.22,15:27:09:218,141.89,119.3
106.64,-5.82,15:27:09:328,140.57,108.43
108.1,-1.8,15:27:09:449,145.84,94.89
105.99,3.27,15:27:09:579,145.2,83.37
93.3,5.33,15:27:09:700,139.5,38.48
46.16,-8.5,15:27:09:833,126.64,-50.14
32.05,-25.81,15:27:09:953,79.93,-19.64
19.65,-29.25,15:27:10:067,36.17,37.93
16.1,-28.66,15:27:10:195,28.19,666.0
41.14,-15.83,15:27:10:315,48.86,-36.79
83.99,3.13,15:27:10:432,29.87,666.0
94.47,2.25,15:27:10:551,21.93,666.0
93.33,-2.74,15:27:10:676,15.77,666.0
91.55,-6.51,15:27:10:797,11.29,666.0
91.44,-6.69,15:27:10:916,9.85,666.0
89.95,-6.6,15:27:11:039,9.83,666.0
88.66,-6.9,15:27:11:165,10.97,666.0
88.03,-6.65,15:27:11:282,11.42,666.0
87.4,-6.06,15:27:11:413,10.53,666.0
87.89,-6.21,15:27:11:533,12.32,666.0
88.26,-6.3,15:27:11:653,12.72,666.0
87.4,-6.66,15:27:11:772,12.11,666.0
86.22,-5.01,15:27:11:906,12.93,666.0
85.57,-2.98,15:27:12:033,12.52,666.0
85.8,-0.97,15:27:12:153,9.9,666.0
86.17,2.03,15:27:12:284,11.99,666.0
86.57,3.14,15:27:12:414,12.15,666.0
85.38,1.75,15:27:12:534,12.48,666.0
84.41,1.65,15:27:12:664,13.64,666.0
83.99,1.65,15:27:12:779,14.2,666.0
83.45,6.63,15:27:12:900,14.73,666.0
82.44,7.82,15:27:13:029,13.62,666.0
82.92,6.9,15:27:13:145,13.86,666.0
83.16,7.18,15:27:13:259,14.56,666.0
83.4,4.45,15:27:13:380,13.41,666.0
83.52,0.86,15:27:13:498,14.07,666.0
83.68,-1.04,15:27:13:618,14.28,666.0
83.99,-2.31,15:27:13:735,13.85,666.0
84.04,-3.28,15:27:13:860,14.04,666.0
83.97,-3.84,15:27:13:976,14.37,666.0
83.23,-2.69,15:27:14:096,14.6,666.0
83.15,-2.62,15:27:14:220,12.7,666.0
83.06,-2.42,15:27:14:340,13.01,666.0
83.09,-2.59,15:27:14:457,14.27,666.0
82.97,-2.45,15:27:14:573,15.33,666.0
83.12,-2.12,15:27:14:697,17.26,666.0
83.1,-2.23,15:27:14:819,17.64,666.0
82.64,-1.57,15:27:14:939,16.1,666.0
82.94,-1.84,15:27:15:061,16.43,666.0
82.88,-1.98,15:27:15:178,16.1,666.0
83.02,-2.27,15:27:15:305,15.52,666.0
83.04,-2.47,15:27:15:427,15.23,666.0
83.1,-2.74,15:27:15:554,15.13,666.0
83.32,-2.7,15:27:15:686,15.25,666.0
83.28,-2.81,15:27:15:798,13.6,666.0
83.41,-2.91,15:27:15:918,12.11,666.0
83.43,-2.74,15:27:16:038,12.31,666.0
83.37,-2.68,15:27:16:163,12.41,666.0
83.36,-2.66,15:27:16:284,13.15,666.0
83.31,-3.01,15:27:16:403,12.21,666.0
82.86,-1.93,15:27:16:539,11.87,666.0
82.98,-2.2,15:27:16:661,11.87,666.0
82.87,-2.16,15:27:16:787,11.58,666.0
82.93,-2.16,15:27:16:910,11.43,666.0
83.05,-2.15,15:27:17:030,12.29,666.0
83.18,-2.37,15:27:17:157,12.59,666.0
83.18,-2.15,15:27:17:279,12.03,666.0
83.15,-2.36,15:27:17:398,12.75,666.0
83.16,-2.26,15:27:17:518,12.02,666.0
83.1,-2.25,15:27:17:637,12.73,666.0
83.06,-2.29,15:27:17:759,12.96,666.0
82.8,-1.71,15:27:17:881,13.18,666.0
82.62,-1.81,15:27:17:996,14.1,666.0
82.61,-1.97,15:27:18:120,13.83,666.0
82.72,-2.11,15:27:18:247,12.81,666.0
82.71,-2.24,15:27:18:373,12.33,666.0
82.59,-1.85,15:27:18:496,13.45,666.0
82.64,-1.9,15:27:18:614,14.65,666.0
82.38,-1.85,15:27:18:732,17.77,666.0
82.53,-1.78,15:27:18:861,29.87,666.0
83.13,-1.38,15:27:18:981,39.06,-103.4
