elev,shp,time,elb,rie
16.99,-53.14,12:56:33:238,31.12,20.63
16.93,-52.83,12:56:33:354,31.12,20.96
16.95,-52.86,12:56:33:466,31.11,20.88
16.87,-53.09,12:56:33:584,31.06,20.66
16.88,-53.1,12:56:33:697,31.06,20.65
16.55,-53.05,12:56:33:812,30.66,20.41
16.56,-52.94,12:56:33:929,30.47,20.63
16.56,-53.14,12:56:34:046,30.42,20.43
16.51,-53.17,12:56:34:165,30.37,20.31
16.36,-53.22,12:56:34:281,30.15,20.2
16.23,-53.22,12:56:34:394,30.16,20.1
16.12,-52.92,12:56:34:507,30.22,20.12
15.97,-52.97,12:56:34:631,30.03,19.89
15.93,-52.68,12:56:34:749,29.82,666.0
16.02,-53.21,12:56:34:862,29.99,666.0
16.0,-53.26,12:56:34:980,30.0,19.65
16.0,-53.15,12:56:35:094,29.82,666.0
15.96,-53.63,12:56:35:208,29.67,666.0
16.04,-53.78,12:56:35:332,29.71,666.0
16.32,-54.2,12:56:35:448,30.07,19.07
16.26,-54.44,12:56:35:562,29.93,666.0
16.35,-54.67,12:56:35:677,30.05,18.95
16.48,-54.67,12:56:35:796,30.06,19.28
16.45,-54.72,12:56:35:911,29.99,666.0
16.66,-54.92,12:56:36:029,30.49,19.32
16.66,-54.84,12:56:36:144,30.51,19.58
16.64,-54.92,12:56:36:267,30.84,19.47
16.79,-55.13,12:56:36:381,31.03,19.32
16.82,-55.29,12:56:36:495,31.12,19.07
16.77,-55.11,12:56:36:607,31.1,19.2
16.64,-55.07,12:56:36:726,31.03,19.29
16.74,-54.85,12:56:36:839,31.09,19.82
16.6,-55.0,12:56:36:952,31.03,19.49
16.45,-55.12,12:56:37:065,30.89,19.42
16.31,-55.42,12:56:37:181,30.79,19.08
16.12,-55.29,12:56:37:293,30.55,19.3
16.18,-55.29,12:56:37:405,30.48,19.32
16.25,-55.45,12:56:37:522,30.9,19.37
16.19,-55.25,12:56:37:672,30.93,19.59
16.22,-55.12,12:56:37:833,30.96,19.85
16.27,-55.71,12:56:37:989,31.35,19.24
16.3,-55.76,12:56:38:121,31.47,19.14
16.3,-55.64,12:56:38:256,31.53,19.26
16.29,-55.31,12:56:38:379,31.47,19.75
16.2,-55.31,12:56:38:500,31.42,19.85
16.16,-55.36,12:56:38:623,31.44,19.69
16.09,-55.04,12:56:38:741,31.24,19.92
15.97,-55.03,12:56:38:870,31.07,20.09
15.95,-54.81,12:56:39:000,30.85,20.48
15.96,-54.63,12:56:39:121,30.75,20.55
16.04,-54.71,12:56:39:239,30.79,20.41
16.28,-53.84,12:56:39:365,30.94,21.34
16.49,-53.4,12:56:39:490,31.1,21.7
16.38,-53.23,12:56:39:616,31.14,21.42
16.52,-53.43,12:56:39:742,31.38,21.18
16.44,-53.73,12:56:39:866,31.24,20.84
16.14,-53.28,12:56:39:993,30.78,21.24
16.11,-52.7,12:56:40:121,30.85,21.47
16.17,-52.88,12:56:40:244,30.9,21.25
16.36,-52.53,12:56:40:368,31.16,21.37
16.72,-53.64,12:56:40:505,31.87,20.69
16.72,-53.9,12:56:40:632,32.1,19.62
16.4,-53.34,12:56:40:755,31.57,20.05
16.17,-53.04,12:56:40:878,31.28,19.87
16.09,-53.26,12:56:41:000,31.34,19.64
16.2,-53.52,12:56:41:141,31.63,19.44
16.43,-53.65,12:56:41:270,32.09,19.42
16.25,-53.2,12:56:41:402,31.93,19.65
15.7,-52.59,12:56:41:534,31.34,19.83
16.09,-52.38,12:56:41:661,31.73,20.22
16.07,-51.8,12:56:41:790,31.51,20.49
16.06,-51.36,12:56:41:926,31.33,21.08
15.62,-51.55,12:56:42:053,30.41,20.16
15.85,-50.82,12:56:42:178,30.48,21.38
15.84,-51.23,12:56:42:302,30.33,21.09
15.85,-51.94,12:56:42:424,30.44,20.61
15.61,-52.47,12:56:42:550,29.95,666.0
15.58,-52.61,12:56:42:676,29.72,666.0
15.29,-52.44,12:56:42:800,29.53,666.0
15.16,-52.55,12:56:42:932,29.48,666.0
15.24,-52.84,12:56:43:052,29.62,666.0
15.12,-52.53,12:56:43:174,26.3,666.0
15.4,-50.88,12:56:43:304,22.52,666.0
16.61,-44.72,12:56:43:439,20.82,666.0
16.3,-41.2,12:56:43:568,18.48,666.0
17.06,-38.51,12:56:43:699,18.53,666.0
21.77,-34.56,12:56:43:833,19.57,666.0
26.02,-30.22,12:56:43:960,19.62,666.0
23.94,-31.34,12:56:44:089,16.38,666.0
20.86,-33.84,12:56:44:219,16.23,666.0
20.28,-33.78,12:56:44:356,16.59,666.0
20.1,-33.37,12:56:44:486,17.1,666.0
20.17,-33.74,12:56:44:626,17.22,666.0
20.55,-34.33,12:56:44:757,17.37,666.0
20.52,-33.83,12:56:44:886,17.9,666.0
